PID,trial_no,delay,choice,age,gender,rt,outcome
1,1,1,1,18,female,2.693399161,0
1,2,1,1,18,female,0.836652444,1
1,3,2,0,18,female,2.479721799,0
1,4,10,0,18,female,2.55350237,0
1,5,40,1,18,female,1.395123593,1
1,6,80,0,18,female,7.738387151,1
1,7,10,1,18,female,3.901391771,1
1,8,2,1,18,female,1.949376714,1
1,9,2,1,18,female,1.401149823,1
1,10,20,0,18,female,2.189422779,1
1,11,80,0,18,female,1.591649674,1
1,12,40,0,18,female,1.952870859,0
1,13,5,1,18,female,1.285290331,0
1,14,2,1,18,female,1.570754841,1
1,15,1,1,18,female,1.165272581,1
1,16,1,1,18,female,1.365159682,0
1,17,40,0,18,female,1.404616497,0
1,18,80,0,18,female,1.307069945,0
1,19,80,0,18,female,0.880576934,0
1,20,1,1,18,female,1.574783899,1
1,21,40,0,18,female,1.262968559,0
1,22,80,0,18,female,1.305115639,0
1,23,1,1,18,female,2.668956149,1
1,24,40,0,18,female,1.831194333,1
1,25,5,1,18,female,1.111064288,0
1,26,5,1,18,female,1.040807079,1
1,27,2,1,18,female,0.916733405,1
1,28,5,1,18,female,2.325988737,0
1,29,1,1,18,female,1.641393613,0
1,30,5,1,18,female,0.949111974,1
1,31,10,1,18,female,1.104707511,1
1,32,40,0,18,female,1.766939809,0
1,33,20,0,18,female,1.501474785,1
1,34,1,1,18,female,1.225371564,0
1,35,10,1,18,female,1.334954878,1
1,36,2,1,18,female,1.150971493,1
1,37,5,1,18,female,0.859002893,1
1,38,80,0,18,female,1.143244226,0
1,39,20,0,18,female,3.026822049,1
1,40,20,0,18,female,1.358824337,0
1,41,40,0,18,female,0.778958156,1
1,42,20,0,18,female,0.957475281,1
1,43,10,1,18,female,1.343092688,0
1,44,20,0,18,female,0.885204298,0
1,45,10,1,18,female,0.787338971,0
1,46,5,1,18,female,1.397289812,0
1,47,2,1,18,female,0.887414892,0
1,48,20,1,18,female,2.100818822,0
1,49,20,1,18,female,3.2387764,0
1,50,80,0,18,female,1.26280736,1
1,51,10,1,18,female,1.191502361,0
1,52,5,1,18,female,0.819339599,1
1,53,20,0,18,female,1.99795785,0
1,54,40,0,18,female,0.935014648,1
1,55,1,1,18,female,1.370931435,0
1,56,5,1,18,female,0.962798153,0
1,57,80,0,18,female,0.783508544,0
1,58,80,0,18,female,0.944956735,1
1,59,2,1,18,female,1.350948551,0
1,60,80,0,18,female,1.197298264,1
1,61,10,1,18,female,1.310891316,1
1,62,20,0,18,female,2.225153614,1
1,63,10,1,18,female,0.939363688,0
1,64,40,0,18,female,1.008894899,0
1,65,1,1,18,female,1.323396278,1
1,66,10,1,18,female,0.971153611,1
1,67,2,1,18,female,1.152531859,0
1,68,40,0,18,female,1.285590691,1
1,69,5,1,18,female,1.037148718,1
1,70,2,1,18,female,1.261033874,0
2,1,80,0,18,female,11.60728473,1
2,2,5,0,18,female,2.322687488,1
2,3,5,0,18,female,4.852475862,1
2,4,40,1,18,female,4.317575622,1
2,5,2,0,18,female,3.360824829,1
2,6,1,0,18,female,6.47646939,1
2,7,5,0,18,female,3.826897517,0
2,8,1,0,18,female,2.463369442,0
2,9,1,0,18,female,2.566887887,0
2,10,1,1,18,female,0.947146801,1
2,11,40,1,18,female,2.097023411,1
2,12,1,1,18,female,1.957440264,1
2,13,80,1,18,female,1.794593208,0
2,14,40,1,18,female,2.399106465,0
2,15,1,0,18,female,1.942585244,0
2,16,5,0,18,female,1.747003715,1
2,17,20,0,18,female,7.125498802,1
2,18,1,1,18,female,6.103414904,1
2,19,40,0,18,female,5.926928458,0
2,20,2,1,18,female,1.551205442,1
2,21,5,0,18,female,1.67502132,1
2,22,5,0,18,female,1.778394867,0
2,23,80,1,18,female,1.663430721,0
2,24,80,0,18,female,2.59456453,1
2,25,20,1,18,female,4.206948744,0
2,26,2,1,18,female,1.866588885,1
2,27,1,1,18,female,1.412671292,0
2,28,20,1,18,female,1.84309948,1
2,29,10,1,18,female,2.030989967,1
2,30,20,1,18,female,2.496988093,0
2,31,10,1,18,female,1.81072725,0
2,32,80,0,18,female,1.207260878,1
2,33,2,1,18,female,1.67097264,0
2,34,10,1,18,female,0.905010286,0
2,35,10,1,18,female,1.518786121,1
2,36,40,0,18,female,2.963568525,0
2,37,2,1,18,female,1.560940144,0
2,38,5,1,18,female,1.433455943,0
2,39,20,1,18,female,2.497235022,1
2,40,20,1,18,female,1.932659157,1
2,41,80,0,18,female,1.187418363,0
2,42,20,1,18,female,1.266651975,0
2,43,2,1,18,female,1.258769246,1
2,44,10,1,18,female,1.380936008,1
2,45,20,1,18,female,1.87748156,1
2,46,5,1,18,female,2.136725043,0
2,47,5,1,18,female,1.404859502,1
2,48,2,1,18,female,1.452956741,1
2,49,40,0,18,female,1.611108512,1
2,50,80,0,18,female,2.189318936,0
2,51,5,1,18,female,1.42082812,0
2,52,20,1,18,female,0.90655737,0
2,53,80,0,18,female,2.025380319,1
2,54,1,1,18,female,1.19116155,0
2,55,20,1,18,female,1.336629049,0
2,56,10,1,18,female,1.611395288,1
2,57,10,1,18,female,1.276612174,0
2,58,1,1,18,female,1.417529587,1
2,59,10,1,18,female,1.331265122,0
2,60,80,0,18,female,1.777542386,1
2,61,2,1,18,female,3.253230838,0
2,62,40,0,18,female,1.301171104,0
2,63,40,0,18,female,1.180981591,1
2,64,10,1,18,female,1.333155733,1
2,65,10,1,18,female,0.843136006,0
2,66,40,0,18,female,1.228699982,1
2,67,2,1,18,female,1.18282994,0
2,68,80,0,18,female,1.29124713,0
2,69,2,1,18,female,1.384749833,0
2,70,40,0,18,female,1.345512779,0
3,1,1,1,20,female,5.267736896,1
3,2,20,0,20,female,5.147962755,0
3,3,5,1,20,female,2.097924795,1
3,4,1,0,20,female,1.809591313,0
3,5,20,1,20,female,3.323112822,0
3,6,20,1,20,female,5.217447177,1
3,7,40,1,20,female,6.42298649,0
3,8,20,1,20,female,2.704682456,1
3,9,2,1,20,female,1.981476959,1
3,10,5,1,20,female,1.82912109,1
3,11,5,1,20,female,3.237573147,0
3,12,10,0,20,female,1.667340541,1
3,13,80,1,20,female,8.245008505,1
3,14,2,0,20,female,3.729491636,0
3,15,2,0,20,female,2.229463109,1
3,16,5,1,20,female,3.381313346,1
3,17,1,0,20,female,2.281477412,1
3,18,2,0,20,female,2.43856479,0
3,19,40,1,20,female,1.651393356,0
3,20,10,1,20,female,6.898821047,0
3,21,10,0,20,female,1.59713862,0
3,22,1,0,20,female,1.572518969,1
3,23,5,0,20,female,1.478966458,1
3,24,5,0,20,female,1.690813645,1
3,25,80,1,20,female,1.575300399,1
3,26,5,1,20,female,3.86277657,0
3,27,80,1,20,female,1.979501046,1
3,28,80,1,20,female,6.56152396,1
3,29,5,0,20,female,2.457137639,0
3,30,10,1,20,female,1.493232227,1
3,31,40,1,20,female,1.97950273,0
3,32,20,0,20,female,1.766611374,1
3,33,40,1,20,female,2.517072405,1
3,34,40,1,20,female,6.482557201,0
3,35,10,1,20,female,3.507309026,1
3,36,20,1,20,female,1.89518774,1
3,37,1,1,20,female,1.711010555,0
3,38,20,1,20,female,1.617501513,0
3,39,80,1,20,female,1.427468051,0
3,40,80,1,20,female,1.459311706,1
3,41,20,1,20,female,2.68714351,1
3,42,5,0,20,female,1.59730732,0
3,43,20,0,20,female,3.403200727,0
3,44,2,0,20,female,1.375304926,1
3,45,20,1,20,female,9.069079614,0
3,46,80,1,20,female,1.562669557,0
3,47,1,0,20,female,1.689147625,0
3,48,40,1,20,female,1.760830263,0
3,49,5,0,20,female,1.003294307,0
3,50,80,0,20,female,1.785435379,0
3,51,10,0,20,female,2.889406026,0
3,52,80,1,20,female,1.427302022,0
3,53,1,0,20,female,1.85077248,0
3,54,10,1,20,female,1.347796727,0
3,55,1,1,20,female,2.524744731,1
3,56,1,1,20,female,1.041106534,1
3,57,1,1,20,female,0.739501341,0
3,58,2,0,20,female,0.777192821,0
3,59,40,1,20,female,1.136981331,1
3,60,10,1,20,female,3.245617075,1
3,61,2,0,20,female,1.636822396,1
3,62,2,1,20,female,1.953234008,0
3,63,40,1,20,female,1.803410527,1
3,64,10,1,20,female,2.033321309,1
3,65,40,1,20,female,5.501069374,1
3,66,80,1,20,female,2.296746295,0
3,67,2,0,20,female,2.56561309,1
3,68,40,0,20,female,2.2870611,1
3,69,10,1,20,female,1.941627713,0
3,70,2,0,20,female,1.678563159,0
4,1,10,0,18,female,3.610895694,0
4,2,2,1,18,female,1.133025325,0
4,3,5,0,18,female,2.257941519,1
4,4,40,0,18,female,42.64716899,0
4,5,1,0,18,female,1.595474064,0
4,6,1,0,18,female,0.604974817,1
