PID,trial_no,trial_type,choice,delay,age,gender
554,7,loss,1,5,25,male
554,8,loss,0,80,25,male
554,9,loss,1,2,25,male
554,10,loss,1,5,25,male
554,11,loss,0,5,25,male
554,12,loss,0,20,25,male
554,13,loss,0,80,25,male
554,14,loss,0,10,25,male
554,15,loss,0,10,25,male
554,16,loss,1,5,25,male
554,17,loss,0,10,25,male
554,18,loss,1,5,25,male
554,19,loss,1,10,25,male
554,20,loss,1,2,25,male
554,21,loss,0,80,25,male
554,22,loss,1,20,25,male
554,23,loss,1,2,25,male
554,24,loss,1,1,25,male
554,25,loss,1,2,25,male
554,26,loss,0,5,25,male
554,27,loss,0,1,25,male
554,28,loss,1,20,25,male
554,29,loss,1,20,25,male
554,30,loss,0,10,25,male
554,31,loss,0,1,25,male
554,32,loss,1,40,25,male
554,33,loss,1,2,25,male
554,34,loss,0,40,25,male
554,35,loss,0,2,25,male
554,36,loss,1,5,25,male
554,37,loss,1,40,25,male
554,38,loss,1,80,25,male
554,39,loss,1,20,25,male
554,40,loss,0,1,25,male
554,41,loss,0,5,25,male
554,42,loss,0,5,25,male
554,43,loss,1,10,25,male
554,44,loss,1,2,25,male
554,45,loss,1,2,25,male
554,46,loss,0,1,25,male
554,47,loss,0,2,25,male
554,48,loss,0,2,25,male
554,49,loss,1,10,25,male
554,50,loss,1,20,25,male
554,51,loss,1,5,25,male
554,52,loss,1,20,25,male
554,53,loss,1,1,25,male
554,54,loss,0,1,25,male
554,55,loss,1,10,25,male
554,56,loss,1,1,25,male
554,57,loss,0,20,25,male
554,58,loss,0,10,25,male
554,59,loss,1,20,25,male
554,60,loss,1,1,25,male
554,61,loss,0,40,25,male
554,62,loss,1,80,25,male
554,63,loss,0,40,25,male
554,64,loss,1,10,25,male
554,65,loss,0,20,25,male
554,66,loss,1,1,25,male
3731,8,loss,1,1,22,male
3731,19,loss,1,1,22,male
3731,39,loss,1,1,22,male
3731,41,loss,1,1,22,male
3731,44,loss,1,1,22,male
3731,49,loss,1,1,22,male
3731,54,loss,1,1,22,male
3731,55,loss,1,1,22,male
3731,57,loss,0,1,22,male
3731,60,loss,1,1,22,male
3731,7,loss,0,2,22,male
3731,15,loss,1,2,22,male
3731,23,loss,1,2,22,male
3731,25,loss,1,2,22,male
