PID,trial_no,outcome,delay,choice,rt,age,gender
1,1,0,1,0,3.121508175,18,female
1,11,1,1,1,1.464458536,18,female
1,16,0,1,1,1.583626602,18,female
1,26,0,1,1,1.240480628,18,female
1,28,1,1,1,1.201810566,18,female
1,35,1,1,1,0.754504378,18,female
1,39,0,1,1,0.705900927,18,female
1,45,1,1,1,1.195922559,18,female
1,52,1,1,1,0.812155527,18,female
1,62,0,1,1,1.06021102,18,female
1,9,0,2,1,1.464042858,18,female
1,21,0,2,1,1.088077699,18,female
1,22,0,2,1,1.239754928,18,female
1,32,1,2,1,1.139741223,18,female
1,40,1,2,1,0.740070988,18,female
1,51,0,2,1,1.148602666,18,female
1,55,0,2,1,0.992246728,18,female
1,56,1,2,1,0.768116073,18,female
1,60,1,2,1,1.112156493,18,female
1,67,1,2,1,0.673903134,18,female
1,3,1,5,1,1.499127893,18,female
1,14,1,5,1,0.912508837,18,female
1,20,0,5,1,1.521674989,18,female
1,33,0,5,1,0.832462132,18,female
1,36,0,5,1,0.640516128,18,female
1,42,0,5,1,1.107993984,18,female
1,43,1,5,1,1.030022949,18,female
1,57,1,5,1,0.712211554,18,female
1,61,0,5,1,1.130215361,18,female
1,68,1,5,1,1.028285979,18,female
1,10,0,10,0,2.143734985,18,female
1,27,0,10,1,1.269683995,18,female
1,47,0,10,1,0.99793067,18,female
1,48,1,10,1,0.99596941,18,female
1,49,1,10,1,1.118531116,18,female
1,54,0,10,1,0.950403693,18,female
1,64,1,10,1,1.076156184,18,female
1,65,0,10,1,0.706336528,18,female
1,69,1,10,1,1.247874673,18,female
1,70,1,10,1,1.182689109,18,female
1,4,1,20,1,1.860642456,18,female
1,13,0,20,1,1.471549803,18,female
1,15,0,20,1,2.361690252,18,female
1,17,0,20,0,2.948214822,18,female
1,19,0,20,1,2.738280587,18,female
1,30,1,20,1,0.912159572,18,female
1,41,0,20,0,0.79978392,18,female
1,44,1,20,1,1.259833017,18,female
1,58,1,20,1,1.231662957,18,female
1,66,1,20,1,0.810087404,18,female
1,2,0,40,1,2.554022953,18,female
1,18,0,40,0,1.907816242,18,female
1,24,0,40,1,1.677876973,18,female
1,25,0,40,1,1.784664376,18,female
1,31,1,40,1,0.918205759,18,female
1,34,0,40,1,0.92023977,18,female
1,37,1,40,0,1.444008844,18,female
1,38,1,40,1,1.19572121,18,female
1,46,1,40,0,2.17109935,18,female
1,50,1,40,1,1.219864001,18,female
1,5,1,80,1,1.618043594,18,female
1,6,1,80,1,2.057997697,18,female
1,7,0,80,1,1.372547066,18,female
1,8,1,80,0,2.355876204,18,female
1,12,0,80,1,1.785552181,18,female
1,23,1,80,0,1.80601425,18,female
1,29,0,80,1,4.305991006,18,female
1,53,1,80,1,1.270555498,18,female
1,59,0,80,0,1.495809115,18,female
1,63,0,80,1,1.350556017,18,female
2,6,1,1,1,1.067705286,17,female
2,11,1,1,0,1.854194477,17,female
2,29,0,1,0,1.731049252,17,female
2,42,0,1,0,2.042227922,17,female
2,46,0,1,0,1.382694785,17,female
2,48,1,1,0,1.90450622,17,female
2,66,1,1,0,1.76673018,17,female
2,67,1,1,1,0.966731026,17,female
2,69,0,1,0,1.092286394,17,female
2,70,0,1,0,1.454651027,17,female
2,1,1,2,1,2.964853384,17,female
2,3,0,2,1,1.12151059,17,female
2,14,1,2,0,1.98373274,17,female
2,15,0,2,0,1.066451613,17,female
2,32,0,2,0,1.970037124,17,female
2,36,0,2,0,1.712430713,17,female
2,47,1,2,0,1.505966191,17,female
2,56,0,2,0,1.903799236,17,female
2,60,1,2,0,1.18669404,17,female
2,68,1,2,1,1.212565952,17,female
2,4,1,5,0,2.584848276,17,female
2,12,0,5,0,0.978301465,17,female
2,24,0,5,0,1.878970594,17,female
2,25,1,5,0,1.508211211,17,female
2,34,0,5,0,1.398053713,17,female
2,41,0,5,0,1.23042317,17,female
2,43,0,5,0,1.622208215,17,female
2,49,1,5,0,1.794293176,17,female
2,59,1,5,0,1.387833244,17,female
2,63,1,5,0,0.887768643,17,female
2,8,1,10,0,1.900347636,17,female
2,20,0,10,0,2.622075995,17,female
2,21,1,10,0,1.083701767,17,female
2,31,1,10,1,0.826376701,17,female
2,33,1,10,0,1.570285383,17,female
2,35,0,10,0,1.195931011,17,female
2,44,0,10,0,2.850742876,17,female
2,52,0,10,0,1.620221296,17,female
2,55,1,10,0,2.669938653,17,female
2,57,0,10,0,0.929731824,17,female
2,7,0,20,0,6.678543807,17,female
2,13,0,20,1,1.680051656,17,female
2,17,1,20,0,3.35424821,17,female
2,18,0,20,0,1.858310799,17,female
2,50,1,20,1,2.916224877,17,female
2,51,1,20,1,1.612339729,17,female
2,53,0,20,1,0.964629093,17,female
2,58,0,20,1,0.97612165,17,female
2,62,1,20,1,1.490045782,17,female
2,64,1,20,1,2.906130893,17,female
