PID,trial_no,choiceOld,delay,age,gender,outcome,choice
62,6,1,10,18,male,1,0
62,7,2,5,18,male,0,1
62,8,1,1,18,male,1,0
62,9,1,2,18,male,0,0
62,10,2,40,18,male,1,1
62,11,1,2,18,male,1,0
62,12,1,1,18,male,0,0
62,13,2,80,18,male,0,1
62,14,1,5,18,male,1,0
62,15,1,1,18,male,1,0
62,16,1,10,18,male,1,0
62,17,1,20,18,male,1,0
62,18,1,1,18,male,0,0
62,19,1,2,18,male,1,0
62,20,1,40,18,male,1,0
62,21,1,80,18,male,1,0
62,22,1,5,18,male,1,0
62,23,2,10,18,male,0,1
62,24,1,10,18,male,0,0
62,25,1,5,18,male,0,0
62,26,1,5,18,male,1,0
62,27,2,20,18,male,0,1
62,28,1,20,18,male,1,0
62,29,1,80,18,male,0,0
62,30,1,2,18,male,1,0
62,31,2,1,18,male,1,1
62,32,1,20,18,male,0,0
62,33,1,10,18,male,0,0
62,34,2,20,18,male,1,1
62,35,2,40,18,male,0,1
62,36,1,2,18,male,1,0
62,37,2,40,18,male,0,1
62,38,2,80,18,male,1,1
62,39,1,10,18,male,1,0
62,40,1,80,18,male,1,0
62,41,2,80,18,male,0,1
62,42,1,2,18,male,0,0
62,43,1,2,18,male,1,0
62,44,2,80,18,male,0,1
62,45,1,2,18,male,1,0
62,46,2,20,18,male,0,1
62,47,2,1,18,male,0,1
62,48,2,80,18,male,1,1
62,49,1,5,18,male,0,0
62,50,1,1,18,male,0,0
62,51,1,2,18,male,1,0
62,52,1,5,18,male,0,0
62,53,2,20,18,male,1,1
62,54,1,10,18,male,1,0
62,55,1,10,18,male,0,0
62,56,1,10,18,male,1,0
62,57,2,20,18,male,1,1
62,58,2,20,18,male,1,1
62,59,2,40,18,male,1,1
62,60,1,2,18,male,0,0
62,61,2,20,18,male,1,1
62,62,2,40,18,male,1,1
62,63,2,80,18,male,1,1
62,64,1,10,18,male,1,0
62,65,1,5,18,male,0,0
62,66,2,40,18,male,1,1
62,67,2,40,18,male,0,1
62,68,1,5,18,male,0,0
62,69,1,1,18,male,1,0
62,70,2,40,18,male,0,1
62,71,1,1,18,male,0,0
62,72,2,1,18,male,0,1
62,73,2,40,18,male,0,1
62,74,2,80,18,male,1,1
62,75,1,5,18,male,0,0
109,6,2,80,18,female,1,1
109,7,2,40,18,female,1,1
109,8,1,10,18,female,1,0
109,9,2,20,18,female,0,1
109,10,1,5,18,female,1,0
109,11,1,1,18,female,1,0
109,12,1,5,18,female,1,0
109,13,2,10,18,female,1,1
109,14,2,10,18,female,1,1
109,15,2,20,18,female,1,1
109,16,2,40,18,female,0,1
109,17,1,2,18,female,1,0
109,18,2,1,18,female,1,1
109,19,2,80,18,female,0,1
109,20,1,1,18,female,1,0
109,21,2,40,18,female,1,1
109,22,2,10,18,female,1,1
109,23,2,5,18,female,1,1
109,24,1,2,18,female,0,0
109,25,2,20,18,female,0,1
109,26,2,40,18,female,1,1
109,27,2,20,18,female,0,1
109,28,1,2,18,female,0,0
109,29,1,1,18,female,0,0
109,30,2,40,18,female,1,1
109,31,1,20,18,female,1,0
109,32,2,1,18,female,1,1
109,33,2,20,18,female,1,1
109,34,2,80,18,female,1,1
109,35,2,10,18,female,0,1
109,36,2,20,18,female,1,1
109,37,1,2,18,female,0,0
109,38,2,20,18,female,0,1
109,39,1,5,18,female,0,0
109,40,2,80,18,female,0,1
109,41,1,2,18,female,1,0
109,42,1,1,18,female,1,0
109,43,1,1,18,female,0,0
109,44,2,80,18,female,1,1
109,45,2,10,18,female,1,1
109,46,2,10,18,female,1,1
109,47,2,40,18,female,1,1
109,48,1,1,18,female,0,0
109,49,2,5,18,female,0,1
109,50,1,2,18,female,1,0
109,51,2,10,18,female,1,1
109,52,2,5,18,female,1,1
109,53,2,2,18,female,0,1
109,54,2,5,18,female,0,1
109,55,2,5,18,female,1,1
109,56,2,2,18,female,1,1
109,57,2,80,18,female,1,1
109,58,2,80,18,female,1,1
